id_bsran_Group	id_bsran	title_bsran	layer_bsran	objtype_bsran	objpixel_bsran	objgeo_bsran	pensymcolor_bsran	pensymsizepixel_bsran	pensymsizemeters_bsran	brushfill_bsran	brushcolor_bsran	alpha_bsran	uri_bsran	labelsize_bsran	labelcolor_bsran	objgeocenter_bsran
-1064471185_47	106447118547			POINT	343.644403477369 447.306907491768	0.488869719207153 0.364363032390023	-16777216	10	10	10	10					
-1064471185_48	106447118548			POINT	330.356349376143 447.339828060598	0.469999618828171 0.364361825420374	-16777216	10	10	10	10					
-1064471185_49	106447118549			POINT	317.068295249938 447.372739350555	0.45112951844919 0.364360618450725	-16777216	10	10	10	10					
-1064471185_50	106447118550			POINT	303.78024109877 447.405641361767	0.432259418070208 0.364359411481076	-16777216	10	10	10	10					
-1064471185_51	106447118551			POINT	290.492186922655 447.438534094359	0.413389317691227 0.364358204511427	-16777216	10	10	10	10					
-1064471185_52	106447118552			POINT	277.204132721608 447.471417548454	0.394519217312245 0.364356997541779	-16777216	10	10	10	10					
-1064471185_53	106447118553			POINT	263.916078495646 447.504291724174	0.375649116933263 0.364355790572132	-16777216	10	10	10	10					
-1064471185_54	106447118554			POINT	357.111147911868 455.161984873569	0.507966317236277 0.353086899320795	-16777216	10	10	10	10					
-1064471185_55	106447118555			POINT	356.928106512667 467.919206822008	0.507662333547918 0.334849760463845	-16777216	10	10	10	10					
-1064471185_56	106447118556			POINT	356.745040599007 480.676427948433	0.50735834985956 0.316612621606894	-16777216	10	10	10	10					
-1064471185_57	106447118557			POINT	346.309612813395 484.954326332139	0.492524597793668 0.31053290477884	-16777216	10	10	10	10					
-1064471185_58	106447118558			POINT	335.935212426595 484.979813031655	0.477792173623895 0.310532234236435	-16777216	10	10	10	10					
-1064471185_59	106447118559			POINT	325.5608120272 485.005294911025	0.463059749454124 0.31053156369403	-16777216	10	10	10	10					
-1064471185_60	106447118560			POINT	315.186411615214 485.030771970293	0.448327325284353 0.310530893151626	-16777216	10	10	10	10					
-1064471185_61	106447118561			POINT	304.812011190642 485.056244209507	0.433594901114579 0.310530222609221	-16777216	10	10	10	10					
-1064471185_62	106447118562			POINT	294.437610753492 485.081711628709	0.418862476944808 0.310529552066817	-16777216	10	10	10	10					
-1064471185_63	106447118563			POINT	284.063210303768 485.107174227944	0.404130052775036 0.310528881524414	-16777216	10	10	10	10					
-1064471185_64	106447118564			POINT	273.688809841475 485.132632007257	0.389397628605264 0.310528210982009	-16777216	10	10	10	10					
-1064471185_65	106447118565			POINT	263.314409366619 485.158084966689	0.374665204435492 0.310527540439606	-16777216	10	10	10	10					
-1064471185_66	106447118566			POINT	252.940008879205 485.183533106285	0.35993278026572 0.310526869897201	-16777216	10	10	10	10					
-1064471185_67	106447118567			POINT	242.565608379239 485.208976426085	0.345200356095947 0.310526199354798	-16777216	10	10	10	10					
-1064471185_68	106447118568			POINT	232.191207866727 485.234414926133	0.330467931926175 0.310525528812394	-16777216	10	10	10	10					
-1064471185_69	106447118569			POINT	358.634342908403 491.580103273908	0.510003687813717 0.301018172505434	-16777216	10	10	10	10					
-1064471185_70	106447118570			POINT	358.106549896812 504.232442990738	0.509210592135622 0.282932161143776	-16777216	10	10	10	10					
-1064471185_71	106447118571			POINT	357.578732067801 516.884781314155	0.508417496457525 0.264846149782118	-16777216	10	10	10	10					
-1064471185_72	106447118572			POINT	357.050889532028 529.537118271617	0.50762440077943 0.246760138420462	-16777216	10	10	10	10					
-1064471185_73	106447118573			POINT	344.592660861641 536.14645202202	0.489910237490962 0.237354299990601	-16777216	10	10	10	10					
-1064471185_74	106447118574			POINT	332.398362243324 536.429612267998	0.472592622041541 0.236991467241568	-16777216	10	10	10	10					
-1064471185_75	106447118575			POINT	320.204063179768 536.712767007991	0.455275006592122 0.236628634492534	-16777216	10	10	10	10					
-1064471185_76	106447118576			POINT	308.009763672005 536.995916265354	0.437957391142701 0.236265801743503	-16777216	10	10	10	10					
-1064471185_77	106447118577			POINT	295.81546372107 537.279060063446	0.420639775693281 0.235902968994471	-16777216	10	10	10	10					
-1064471185_78	106447118578			POINT	283.621163327996 537.562198425622	0.40332216024386 0.23554013624544	-16777216	10	10	10	10					
-1064471185_79	106447118579			POINT	271.426862493817 537.845331375239	0.386004544794439 0.235177303496407	-16777216	10	10	10	10					
